dec12,dec9,birthdate,later tagged
2367,1939,26.07.2016,
2368,148,28.07.2016,
2369,404,01.07.2016,
2370,660,05.07.2016,
2371,916,11.08.2016,
2372,1172,,
2373,1428,,
2374,1684,,
2375,1940,26.07.2016,
2376,148,29.06.2016,
2377,404,01.08.2016,
2378,660,05.08.2016,
2379,916,07.07.2016,
2380,1172,,
2381,1428,19.07.2016,
2382,1684,21.07.2016,
2383,1940,,
2384,149,29.06.2016,
2385,405,01.08.2016,
2386,661,10.08.2016,
2387,917,07.07.2016,
2388,1173,,
2389,1429,19.07.2016,
2390,1685,21.07.2016,
2391,1941,,
2392,149,28.07.2016,
2393,405,01.07.2016,
2394,661,05.07.2016,
2395,917,11.08.2016,
2396,1173,13.07.2016,
2397,1429,,
2398,1685,,
2399,1941,26.07.2016,
2400,150,29.06.2016,
2401,406,01.08.2016,
2402,662,05.08.2016,
2403,918,07.07.2016,
2404,1174,23.08.2016,
2405,1430,19.07.2016,
2406,1686,21.07.2016,
2407,1942,,
2408,150,28.07.2016,
2409,406,01.07.2016,
2410,662,05.07.2016,
2411,918,11.08.2016,
2412,1174,14.07.2016,
2413,1430,,
2414,1686,,
2415,1942,26.07.2016,
2416,151,28.07.2016,
2417,407,01.07.2016,
2418,663,05.07.2016,
2419,919,11.08.2016,
2420,1175,14.07.2016,
2421,1431,,
2422,1687,,
2423,1943,26.07.2016,
2424,151,29.06.2016,
2425,407,01.08.2016,
2426,663,10.08.2016,
2427,919,07.07.2016,
2428,1175,23.08.2016,
2429,1431,19.07.2016,
2430,1687,21.07.2016,
2431,1943,,
2432,152,28.07.2016,
2433,408,01.07.2016,
2434,664,05.07.2016,
2435,920,11.08.2016,
2436,1176,14.07.2016,
2437,1432,,
2438,1688,,
2439,1944,26.07.2016,
2440,152,29.06.2016,
2441,408,01.08.2016,
2442,664,10.08.2016,
2443,920,07.07.2016,
2444,1176,23.08.2016,
2445,1432,19.07.2016,
2446,1688,21.07.2016,
2447,1944,,
2448,153,29.06.2016,
2449,409,01.08.2016,
2450,665,05.08.2016,
2451,921,07.07.2016,
2452,1177,23.08.2016,
2453,1433,19.07.2016,
2454,1689,21.07.2016,
2455,1945,,
2456,153,28.07.2016,
2457,409,01.07.2016,
2458,665,05.07.2016,
2459,921,11.08.2016,
2460,1177,14.07.2016,
2461,1433,,
2462,1689,,
2463,1945,26.07.2016,
2464,154,29.06.2016,
2465,410,01.08.2016,
2466,666,10.08.2016,
2467,922,07.07.2016,
2468,1178,23.08.2016,
2469,1434,19.07.2016,
2470,1690,21.07.2016,
2471,1946,,
2472,154,28.07.2016,
2473,410,01.07.2016,
2474,666,05.07.2016,
2475,922,11.08.2016,
2476,1178,14.07.2016,
2477,1434,,
2478,1690,,
2479,1946,26.07.2016,
2480,155,28.07.2016,
2481,411,01.07.2016,
2482,667,05.07.2016,
2483,923,11.08.2016,
2484,1179,14.07.2016,
2485,1435,,
2486,1691,,
2487,1947,26.07.2016,
2488,155,29.06.2016,
2489,411,01.08.2016,
2490,667,10.08.2016,
2491,923,07.07.2016,
2492,1179,23.08.2016,
2493,1435,19.07.2016,
2494,1691,21.07.2016,
2495,1947,,
2496,156,29.06.2016,
2497,412,01.08.2016,
2498,668,10.08.2016,
2499,924,07.07.2016,
2500,1180,23.08.2016,
2501,1436,19.07.2016,
2502,1692,21.07.2016,
2503,1948,,
2504,156,28.07.2016,
2505,412,01.07.2016,
2506,668,05.07.2016,
2507,924,11.08.2016,
2508,1180,14.07.2016,
2509,1436,,
2510,1692,,
2511,1948,26.07.2016,
2512,157,28.07.2016,
2513,413,01.07.2016,
2514,669,05.07.2016,
2515,925,11.08.2016,
2516,1181,14.07.2016,
2517,1437,,
2518,1693,,
2519,1949,26.07.2016,
2520,157,29.06.2016,
2521,413,01.08.2016,
2522,669,10.08.2016,
2523,925,07.07.2016,
2524,1181,23.08.2016,
2525,1437,19.07.2016,
2526,1693,21.07.2016,
2527,1949,,
2528,158,28.07.2016,
2529,414,01.07.2016,
2530,670,05.07.2016,
2531,926,11.08.2016,
2532,1182,14.07.2016,
2533,1438,,
2534,1694,,
2535,1950,26.07.2016,
2536,158,29.06.2016,
2537,414,01.08.2016,
2538,670,10.08.2016,
2539,926,07.07.2016,
2540,1182,23.08.2016,
2541,1438,19.07.2016,
2542,1694,21.07.2016,
2543,1950,,
2544,159,29.06.2016,
2545,415,01.08.2016,
2546,671,10.08.2016,
2547,927,07.07.2016,
2548,1183,23.08.2016,
2549,1439,15.07.2016,
2550,1695,21.07.2016,
2551,1951,,
2552,159,28.07.2016,
2553,415,01.07.2016,
2554,671,05.07.2016,
2555,927,11.08.2016,
2556,1183,14.07.2016,
2557,1439,,
2558,1695,,
2559,1951,26.07.2016,
2560,160,29.06.2016,
2561,416,01.08.2016,
2562,672,05.08.2016,
2563,928,07.07.2016,
2564,1184,,
2565,1440,15.07.2016,
2566,1696,21.07.2016,
2567,1952,,
2568,160,28.07.2016,
2569,416,01.07.2016,
2570,672,05.07.2016,
2571,928,11.08.2016,
2572,1184,14.07.2016,
2573,1440,,
2574,1696,,
2575,1952,26.07.2016,
2576,161,28.07.2016,
2577,417,01.07.2016,
2578,673,05.07.2016,
2579,929,11.08.2016,
2580,1185,,
2581,1441,,
2582,1697,,
2583,1953,26.07.2016,
2584,161,29.06.2016,
2585,417,01.08.2016,
2586,673,10.08.2016,
2587,929,07.07.2016,
2588,1185,23.08.2016,
2589,1441,15.07.2016,
2590,1697,21.07.2016,
2591,1953,,
2592,162,28.07.2016,
2593,418,01.07.2016,
2594,674,05.07.2016,
2595,930,11.08.2016,
2596,1186,14.07.2016,
2597,1442,,
2598,1698,,
2599,1954,26.07.2016,
2600,162,29.06.2016,
2601,418,01.08.2016,
2602,674,10.08.2016,
2603,930,07.07.2016,
2604,1186,23.08.2016,
2605,1442,15.07.2016,
2606,1698,21.07.2016,
2607,1954,,
2608,163,29.06.2016,
2609,419,01.08.2016,
2610,675,10.08.2016,
2611,931,07.07.2016,
2612,1187,23.08.2016,
2613,1443,19.07.2016,
2614,1699,21.07.2016,
2615,1955,,
2616,163,28.07.2016,
2617,419,01.07.2016,
2618,675,05.07.2016,
2619,931,11.08.2016,
2620,1187,,
2621,1443,,
2622,1699,,
2623,1955,26.07.2016,
2624,164,28.07.2016,
2625,420,01.07.2016,
2626,676,05.07.2016,
2627,932,11.08.2016,
2628,1188,,
2629,1444,,
2630,1700,,
2631,1956,26.07.2016,
2632,164,29.06.2016,
2633,420,01.08.2016,
2634,676,10.08.2016,
2635,932,07.07.2016,
2636,1188,23.08.2016,
2637,1444,19.07.2016,
2638,1700,21.07.2016,
2639,1956,,
2640,165,29.06.2016,
2641,421,01.08.2016,
2642,677,10.08.2016,
2643,933,07.07.2016,
2644,1189,23.08.2016,
2645,1445,19.07.2016,
2646,1701,21.07.2016,
2647,1957,,
2648,165,27.07.2016,
2649,421,01.07.2016,
2650,677,05.07.2016,
2651,933,11.08.2016,
2652,1189,14.07.2016,
2653,1445,,
2654,1701,,
2655,1957,26.07.2016,
2656,166,29.06.2016,
2657,422,01.08.2016,
2658,678,05.08.2016,
2659,934,07.07.2016,
2660,1190,23.08.2016,
2661,1446,19.07.2016,
2662,1702,21.07.2016,
2663,1958,,
2664,166,27.07.2016,
2665,422,01.07.2016,
2666,678,05.07.2016,
2667,934,11.08.2016,
2668,1190,14.07.2016,
2669,1446,,
2670,1702,,
2671,1958,26.07.2016,
2672,167,27.07.2016,
2673,423,01.07.2016,
2674,679,05.07.2016,
2675,935,11.08.2016,
2676,1191,14.07.2016,
2677,1447,,
2678,1703,,
2679,1959,26.07.2016,
2680,167,29.06.2016,
2681,423,01.08.2016,
2682,679,05.08.2016,
2683,935,07.07.2016,
2684,1191,23.08.2016,
2685,1447,15.07.2016,
2686,1703,21.07.2016,
2687,1959,,
2688,168,27.07.2016,
2689,424,01.07.2016,
2690,680,05.07.2016,
2691,936,11.08.2016,
2692,1192,14.07.2016,
2693,1448,,
2694,1704,,
2695,1960,26.07.2016,
2696,168,29.06.2016,
2697,424,01.08.2016,
2698,680,05.08.2016,
2699,936,07.07.2016,
2700,1192,23.08.2016,
2701,1448,15.07.2016,
2702,1704,21.07.2016,
2703,1960,,
2704,169,29.06.2016,
2705,425,01.08.2016,
2706,681,10.08.2016,
2707,937,07.07.2016,
2708,1193,23.08.2016,
2709,1449,15.07.2016,
2710,1705,21.07.2016,
2711,1961,,
2712,169,27.07.2016,
2713,425,01.07.2016,
2714,681,05.07.2016,
2715,937,11.08.2016,
2716,1193,14.07.2016,
2717,1449,,
2718,1705,,
2719,1961,26.07.2016,
2720,170,29.06.2016,
2721,426,01.08.2016,
2722,682,10.08.2016,
2723,938,07.07.2016,
2724,1194,23.08.2016,
2725,1450,15.07.2016,
2726,1706,21.07.2016,
2727,1962,,
2728,170,27.07.2016,
2729,426,01.07.2016,
2730,682,05.07.2016,
2731,938,11.08.2016,
2732,1194,14.07.2016,
2733,1450,,
2734,1706,,
2735,1962,26.07.2016,
2736,171,27.07.2016,
2737,427,01.07.2016,
2738,683,05.07.2016,
2739,939,11.08.2016,
2740,1195,14.07.2016,
2741,1451,,
2742,1707,,
2743,1963,26.07.2016,
2744,171,29.06.2016,
2745,427,01.08.2016,
2746,683,10.08.2016,
2747,939,07.07.2016,
2748,1195,23.08.2016,
2749,1451,15.07.2016,
2750,1707,21.07.2016,
2751,1963,,
2752,172,29.06.2016,
2753,428,01.08.2016,
2754,684,05.08.2016,
2755,940,07.07.2016,
2756,1196,23.08.2016,
2757,1452,15.07.2016,
2758,1708,21.07.2016,
2759,1964,,
2760,172,27.07.2016,
2761,428,01.07.2016,
2762,684,05.07.2016,
2763,940,11.08.2016,
2764,1196,14.07.2016,
2765,1452,,
2766,1708,,
2767,1964,26.07.2016,
2768,173,27.07.2016,
2769,429,01.07.2016,
2770,685,05.07.2016,
2771,941,11.08.2016,
2772,1197,14.07.2016,
2773,1453,,
2774,1709,,
2775,1965,26.07.2016,
2776,173,29.06.2016,
2777,429,01.08.2016,
2778,685,05.08.2016,
2779,941,07.07.2016,
2780,1197,23.08.2016,
2781,1453,15.07.2016,
2782,1709,21.07.2016,
2783,1965,,
2784,174,28.07.2016,
2785,430,01.07.2016,
2786,686,05.07.2016,
2787,942,11.08.2016,
2788,1198,14.07.2016,
2789,1454,,
2790,1710,,
2791,1966,26.07.2016,
2792,174,29.06.2016,
2793,430,01.08.2016,
2794,686,05.08.2016,
2795,942,07.07.2016,
2796,1198,23.08.2016,
2797,1454,15.07.2016,
2798,1710,21.07.2016,
2799,1966,,
2800,175,29.06.2016,
2801,431,01.08.2016,
2802,687,10.08.2016,
2803,943,07.07.2016,
2804,1199,23.08.2016,
2805,1455,15.07.2016,
2806,1711,21.07.2016,
2807,1967,,
2808,175,28.07.2016,
2809,431,01.07.2016,
2810,687,05.07.2016,
2811,943,11.08.2016,
2812,1199,14.07.2016,
2813,1455,,
2814,1711,,
2815,1967,,
2816,176,28.07.2016,
2817,432,01.07.2016,
2818,688,05.07.2016,
2819,944,11.08.2016,
2820,1200,14.07.2016,
2821,1456,,
2822,1712,,
2823,1968,26.07.2016,
2824,176,29.06.2016,
2825,432,01.08.2016,
2826,688,,
2827,944,07.07.2016,
2828,1200,23.08.2016,
2829,1456,,
2830,1712,21.07.2016,
2831,1968,,
2832,177,29.06.2016,
2833,433,01.08.2016,
2834,689,10.08.2016,
2835,945,07.07.2016,
2836,1201,23.08.2016,
2837,1457,15.07.2016,
2838,1713,22.07.2016,
2839,1969,,
2840,177,28.07.2016,
2841,433,01.07.2016,
2842,689,05.07.2016,
2843,945,11.08.2016,
2844,1201,14.07.2016,
2845,1457,,
2846,1713,,
2847,1969,26.07.2016,
2848,178,29.06.2016,
2849,434,01.08.2016,
2850,690,10.08.2016,
2851,946,07.07.2016,
2852,1202,23.08.2016,
2853,1458,15.07.2016,
2854,1714,22.07.2016,
2855,1970,,
2856,178,28.07.2016,
2857,434,01.07.2016,
2858,690,05.07.2016,
2859,946,11.08.2016,
2860,1202,14.07.2016,
2861,1458,,
2862,1714,,
2863,1970,26.07.2016,
2864,179,28.07.2016,
2865,435,01.07.2016,
2866,691,05.07.2016,
2867,947,11.08.2016,
2868,1203,14.07.2016,
2869,1459,,
2870,1715,,
2871,1971,26.07.2016,
2872,179,29.06.2016,
2873,435,01.08.2016,
2874,691,05.08.2016,
2875,947,07.07.2016,
2876,1203,23.08.2016,
2877,1459,19.07.2016,
2878,1715,22.07.2016,
2879,1971,,
2880,180,29.06.2016,
2881,436,01.08.2016,
2882,692,10.08.2016,
2883,948,07.07.2016,
2884,1204,23.08.2016,
2885,1460,15.07.2016,
2886,1716,22.07.2016,
2887,1972,,
2888,180,28.07.2016,
2889,436,01.07.2016,
2890,692,05.07.2016,
2891,948,11.08.2016,
2892,1204,14.07.2016,
2893,1460,,
2894,1716,,
2895,1972,26.07.2016,
2896,181,28.07.2016,
2897,437,01.07.2016,
2898,693,05.07.2016,
2899,949,11.08.2016,
2900,1205,14.07.2016,
2901,1461,,
2902,1717,,
2903,1973,26.07.2016,
2904,181,29.06.2016,
2905,437,01.08.2016,
2906,693,05.08.2016,
2907,949,07.07.2016,
2908,1205,23.08.2016,
2909,1461,15.07.2016,
2910,1717,21.07.2016,
2911,1973,,
2912,182,28.07.2016,
2913,438,01.07.2016,
2914,694,05.07.2016,
2915,950,11.08.2016,
2916,1206,14.07.2016,
2917,1462,,
2918,1718,,
2919,1974,26.07.2016,
2920,182,29.06.2016,
2921,438,01.08.2016,
2922,694,05.08.2016,
2923,950,07.07.2016,
2924,1206,23.08.2016,
2925,1462,15.07.2016,
2926,1718,21.07.2016,
2927,1974,,
2928,183,29.06.2016,
2929,439,01.08.2016,
2930,695,05.08.2016,
2931,951,07.07.2016,
2932,1207,23.08.2016,
2933,1463,15.07.2016,
2934,1719,21.07.2016,
2935,1975,,
2936,183,28.07.2016,
2937,439,01.07.2016,
2938,695,05.07.2016,
2939,951,11.08.2016,
2940,1207,14.07.2016,
2941,1463,,
2942,1719,,
2943,1975,26.07.2016,
2944,184,29.06.2016,
2945,440,01.08.2016,
2946,696,05.08.2016,
2947,952,07.07.2016,
2948,1208,23.08.2016,
2949,1464,15.07.2016,
2950,1720,21.07.2016,
2951,1976,,
2952,184,28.07.2016,
2953,440,01.07.2016,
2954,696,05.07.2016,
2955,952,11.08.2016,
2956,1208,13.07.2016,
2957,1464,,
2958,1720,,
2959,1976,26.07.2016,
2960,185,28.07.2016,
2961,441,01.07.2016,
2962,697,05.07.2016,
2963,953,11.08.2016,
2964,1209,13.07.2016,
2965,1465,,
2966,1721,,
2967,1977,26.07.2016,
2968,185,29.06.2016,
2969,441,01.08.2016,
2970,697,05.08.2016,
2971,953,07.07.2016,
2972,1209,23.08.2016,
2973,1465,15.07.2016,
2974,1721,21.07.2016,
2975,1977,,
2976,186,28.07.2016,
2977,442,01.07.2016,
2978,698,05.07.2016,
2979,954,11.08.2016,
2980,1210,13.07.2016,
2981,1466,,
2982,1722,,
2983,1978,,
2984,186,29.06.2016,
2985,442,01.08.2016,
2986,698,05.08.2016,
2987,954,07.07.2016,
2988,1210,23.08.2016,
2989,1466,15.07.2016,
2990,1722,21.07.2016,
2991,1978,,
2992,187,29.06.2016,
2993,443,01.08.2016,
2994,699,10.08.2016,
2995,955,07.07.2016,
2996,1211,23.08.2016,
2997,1467,15.07.2016,
2998,1723,21.07.2016,
2999,1979,,
3000,187,28.07.2016,
3001,443,01.07.2016,
3002,699,05.07.2016,
3003,955,11.08.2016,
3004,1211,13.07.2016,
3005,1467,,
3006,1723,,
3007,1979,,
3008,188,28.07.2016,
3009,444,01.07.2016,
3010,700,05.07.2016,
3011,956,11.08.2016,
3012,1212,13.07.2016,
3013,1468,,
3014,1724,,
3015,1980,26.07.2016,
3016,188,29.06.2016,
3017,444,01.08.2016,
3018,700,05.08.2016,
3019,956,07.07.2016,
3020,1212,23.08.2016,
3021,1468,15.07.2016,
3022,1724,21.07.2016,
3023,1980,,
3024,189,29.06.2016,
3025,445,01.08.2016,
3026,701,05.08.2016,
3027,957,07.07.2016,
3028,1213,23.08.2016,
3029,1469,15.07.2016,
3030,1725,21.07.2016,
3031,1981,,
3032,189,28.07.2016,
3033,445,01.07.2016,
3034,701,05.07.2016,
3035,957,11.08.2016,
3036,1213,13.07.2016,
3037,1469,,
3038,1725,,
3039,1981,26.07.2016,
3040,190,29.06.2016,
3041,446,01.08.2016,
3042,702,05.08.2016,
3043,958,07.07.2016,
3044,1214,23.08.2016,
3045,1470,15.07.2016,
3046,1726,21.07.2016,
3047,1982,,
3048,190,28.07.2016,
3049,446,01.07.2016,
3050,702,05.07.2016,
3051,958,11.08.2016,
3052,1214,13.07.2016,
3053,1470,,
3054,1726,,
3055,1982,,
3056,191,28.07.2016,
3057,447,01.07.2016,
3058,703,05.07.2016,
3059,959,11.08.2016,
3060,1215,,
3061,1471,,
3062,1727,,
3063,1983,26.07.2016,
3064,191,29.06.2016,
3065,447,01.08.2016,
3066,703,05.08.2016,
3067,959,07.07.2016,
3068,1215,23.08.2016,
3069,1471,15.07.2016,
3070,1727,21.07.2016,
3071,1983,,
3072,192,29.06.2016,
3073,448,01.08.2016,
3074,704,05.08.2016,
3075,960,07.07.2016,
3076,1216,23.08.2016,
3077,1472,15.07.2016,
3078,1728,21.07.2016,
3079,1984,,
3080,192,28.07.2016,
3081,448,01.07.2016,
3082,704,05.07.2016,
3083,960,11.08.2016,
3084,1216,13.07.2016,
3085,1472,,
3086,1728,,
3087,1984,26.07.2016,
3088,193,27.07.2016,
3089,449,04.07.2016,
3090,705,06.07.2016,
3091,961,22.08.2016,
3092,1217,13.07.2016,
3093,1473,,
3094,1729,,
3095,1985,26.07.2016,
3096,193,29.06.2016,
3097,449,01.08.2016,
3098,705,10.08.2016,
3099,961,11.07.2016,
3100,1217,,
3101,1473,19.07.2016,
3102,1729,21.07.2016,
3103,1985,,
3104,194,27.07.2016,
3105,450,04.07.2016,
3106,706,06.07.2016,
3107,962,15.08.2016,
3108,1218,,
3109,1474,,
3110,1730,,
3111,1986,26.07.2016,
3112,194,29.06.2016,
3113,450,01.08.2016,
3114,706,10.08.2016,
3115,962,11.07.2016,
3116,1218,,
3117,1474,19.07.2016,
3118,1730,21.07.2016,
3119,1986,,
3120,195,29.06.2016,
3121,451,01.08.2016,
3122,707,10.08.2016,
3123,963,11.07.2016,
3124,1219,,
3125,1475,19.07.2016,
3126,1731,21.07.2016,
3127,1987,,
3128,195,27.07.2016,
3129,451,04.07.2016,
3130,707,06.07.2016,
3131,963,15.08.2016,
3132,1219,13.07.2016,
3133,1475,,
3134,1731,,
3135,1987,26.07.2016,
3136,196,27.07.2016,
3137,452,04.07.2016,
3138,708,06.07.2016,
3139,964,15.08.2016,
3140,1220,13.07.2016,
3141,1476,,
3142,1732,,
3143,1988,26.07.2016,
3144,196,29.06.2016,
3145,452,01.08.2016,
3146,708,10.08.2016,
3147,964,11.07.2016,
3148,1220,,
3149,1476,20.07.2016,
3150,1732,21.07.2016,
3151,1988,,
3152,197,29.06.2016,
3153,453,01.08.2016,
3154,709,10.08.2016,
3155,965,11.07.2016,
3156,1221,,
3157,1477,20.07.2016,
3158,1733,21.07.2016,
3159,1989,,
3160,197,27.07.2016,
3161,453,04.07.2016,
3162,709,06.07.2016,
3163,965,15.08.2016,
3164,1221,13.07.2016,
3165,1477,,
3166,1733,,
3167,1989,26.07.2016,
3168,198,29.06.2016,
3169,454,01.08.2016,
3170,710,10.08.2016,
3171,966,11.07.2016,
3172,1222,,02.09.2016
3173,1478,20.07.2016,
3174,1734,21.07.2016,
3175,1990,,
3176,198,27.07.2016,
3177,454,04.07.2016,
3178,710,06.07.2016,
3179,966,15.08.2016,
3180,1222,13.07.2016,
3181,1478,,
3182,1734,,
3183,1990,26.07.2016,
3184,199,27.07.2016,
3185,455,04.07.2016,
3186,711,06.07.2016,
3187,967,15.08.2016,
3188,1223,13.07.2016,
3189,1479,,
3190,1735,,
3191,1991,26.07.2016,
3192,199,29.06.2016,
3193,455,01.08.2016,
3194,711,10.08.2016,
3195,967,11.07.2016,
3196,1223,,
3197,1479,,
3198,1735,21.07.2016,
3199,1991,,
3200,200,27.07.2016,
3201,456,04.07.2016,
3202,712,06.07.2016,
3203,968,15.08.2016,
3204,1224,13.07.2016,
3205,1480,,
3206,1736,,
3207,1992,26.07.2016,
3208,200,29.06.2016,
3209,456,01.08.2016,
3210,712,10.08.2016,
3211,968,11.07.2016,
3212,1224,,
3213,1480,20.07.2016,
3214,1736,21.07.2016,
3215,1992,,
3216,201,29.06.2016,
3217,457,01.08.2016,
3218,713,10.08.2016,
3219,969,11.07.2016,
3220,1225,,
3221,1481,20.07.2016,
3222,1737,21.07.2016,
3223,1993,,
3224,201,27.07.2016,
3225,457,04.07.2016,
3226,713,06.07.2016,
3227,969,22.08.2016,
3228,1225,13.07.2016,
3229,1481,,
3230,1737,,
3231,1993,26.07.2016,
3232,202,29.06.2016,
3233,458,01.08.2016,
3234,714,10.08.2016,
3235,970,11.07.2016,
3236,1226,,
3237,1482,20.07.2016,
3238,1738,21.07.2016,
3239,1994,,
3240,202,27.07.2016,
3241,458,04.07.2016,
3242,714,06.07.2016,
3243,970,15.08.2016,
3244,1226,13.07.2016,
3245,1482,,
3246,1738,,
3247,1994,26.07.2016,
3248,203,28.07.2016,
3249,459,04.07.2016,
3250,715,06.07.2016,
3251,971,15.08.2016,
3252,1227,13.07.2016,
3253,1483,,
3254,1739,,
3255,1995,26.07.2016,
3256,203,29.06.2016,
3257,459,01.08.2016,
3258,715,10.08.2016,
3259,971,11.07.2016,
3260,1227,,
3261,1483,20.07.2016,
3262,1739,21.07.2016,
3263,1995,,
3264,204,29.06.2016,
3265,460,01.08.2016,
3266,716,10.08.2016,
3267,972,11.07.2016,
3268,1228,,
3269,1484,20.07.2016,
3270,1740,21.07.2016,
3271,1996,,
3272,204,28.07.2016,
3273,460,04.07.2016,
3274,716,06.07.2016,
3275,972,15.08.2016,
3276,1228,13.07.2016,
3277,1484,,
3278,1740,,
3279,1996,26.07.2016,
3280,205,28.07.2016,
3281,461,04.07.2016,
3282,717,06.07.2016,
3283,973,15.08.2016,
3284,1229,13.07.2016,
3285,1485,,
3286,1741,,
3287,1997,26.07.2016,
3288,205,29.06.2016,
3289,461,01.08.2016,
3290,717,10.08.2016,
3291,973,11.07.2016,
3292,1229,,
3293,1485,20.07.2016,
3294,1741,21.07.2016,
3295,1997,,
3296,206,28.07.2016,
3297,462,04.07.2016,
3298,718,06.07.2016,
3299,974,15.08.2016,
3300,1230,13.07.2016,
3301,1486,,
3302,1742,,
3303,1998,26.07.2016,
3304,206,29.06.2016,
3305,462,01.08.2016,
3306,718,10.08.2016,
3307,974,11.07.2016,
3308,1230,,
3309,1486,20.07.2016,
3310,1742,21.07.2016,
3311,1998,,
3312,207,29.06.2016,
3313,463,01.08.2016,
3314,719,10.08.2016,
3315,975,11.07.2016,
3316,1231,,
3317,1487,20.07.2016,
3318,1743,21.07.2016,
3319,1999,,
3320,207,28.07.2016,
3321,463,04.07.2016,
3322,719,06.07.2016,
3323,975,15.08.2016,
3324,1231,13.07.2016,
3325,1487,,
3326,1743,,
3327,1999,26.07.2016,
3328,208,28.07.2016,
3329,464,04.07.2016,
3330,720,06.07.2016,
3331,976,15.08.2016,
3332,1232,14.07.2016,
3333,1488,,
3334,1744,,
3335,2000,26.07.2016,
3336,208,29.06.2016,
3337,464,01.08.2016,
3338,720,10.08.2016,
3339,976,11.07.2016,
3340,1232,,
3341,1488,20.07.2016,
3342,1744,21.07.2016,
3343,2000,,
3344,209,29.06.2016,
3345,465,01.08.2016,
3346,721,10.08.2016,
3347,977,11.07.2016,
3348,1233,,
3349,1489,20.07.2016,
3350,1745,21.07.2016,
3351,2001,,
3352,209,28.07.2016,
3353,465,04.07.2016,
3354,721,06.07.2016,
3355,977,15.08.2016,
3356,1233,,
3357,1489,,
3358,1745,,
3359,2001,26.07.2016,
3360,210,29.06.2016,
3361,466,01.08.2016,
3362,722,10.08.2016,
3363,978,11.07.2016,
3364,1234,,
3365,1490,19.07.2016,
3366,1746,21.07.2016,
3367,2002,,
3368,210,28.07.2016,
3369,466,04.07.2016,
3370,722,06.07.2016,
3371,978,22.08.2016,
3372,1234,14.07.2016,
3373,1490,,
3374,1746,,
3375,2002,26.07.2016,
3376,211,28.07.2016,
3377,467,04.07.2016,
3378,723,06.07.2016,
3379,979,22.08.2016,
3380,1235,14.07.2016,
3381,1491,,
3382,1747,,
3383,2003,26.07.2016,
3384,211,29.06.2016,
3385,467,01.08.2016,
3386,723,10.08.2016,
3387,979,11.07.2016,
3388,1235,,
3389,1491,19.07.2016,
3390,1747,21.07.2016,
3391,2003,,
3392,212,29.06.2016,
3393,468,01.08.2016,
3394,724,10.08.2016,
3395,980,11.07.2016,
3396,1236,,
3397,1492,20.07.2016,
3398,1748,21.07.2016,
3399,2004,,
3400,212,28.07.2016,
3401,468,04.07.2016,
3402,724,06.07.2016,
3403,980,22.08.2016,
3404,1236,14.07.2016,
3405,1492,,
3406,1748,,
3407,2004,26.07.2016,
3408,213,28.07.2016,
3409,469,04.07.2016,
3410,725,06.07.2016,
3411,981,22.08.2016,
3412,1237,14.07.2016,
3413,1493,,
3414,1749,,
3415,2005,26.07.2016,
3416,213,29.06.2016,
3417,469,01.08.2016,
3418,725,10.08.2016,
3419,981,11.07.2016,
3420,1237,,
3421,1493,19.07.2016,
3422,1749,21.07.2016,
3423,2005,,
3424,214,28.07.2016,
3425,470,04.07.2016,
3426,726,06.07.2016,
3427,982,15.08.2016,
3428,1238,14.07.2016,
3429,1494,,
3430,1750,,
3431,2006,26.07.2016,
3432,214,29.06.2016,
3433,470,01.08.2016,
3434,726,10.08.2016,
3435,982,11.07.2016,
3436,1238,,
3437,1494,19.07.2016,
3438,1750,21.07.2016,
3439,2006,,
3440,215,29.06.2016,
3441,471,01.08.2016,
3442,727,10.08.2016,
3443,983,11.07.2016,
3444,1239,,
3445,1495,19.07.2016,
3446,1751,21.07.2016,
3447,2007,,
3448,215,28.07.2016,
3449,471,04.07.2016,
3450,727,06.07.2016,
3451,983,15.08.2016,
3452,1239,14.07.2016,
3453,1495,,
3454,1751,,
3455,2007,26.07.2016,
3456,216,29.06.2016,
3457,472,01.08.2016,
3458,728,10.08.2016,
3459,984,11.07.2016,
3460,1240,,
3461,1496,19.07.2016,
3462,1752,21.07.2016,
3463,2008,,
3464,216,28.07.2016,
3465,472,04.07.2016,
3466,728,06.07.2016,
3467,984,15.08.2016,
3468,1240,14.07.2016,
3469,1496,,
3470,1752,,
3471,2008,26.07.2016,
3472,217,28.07.2016,
3473,473,04.07.2016,
3474,729,06.07.2016,
3475,985,15.08.2016,
3476,1241,14.07.2016,
3477,1497,,
3478,1753,,
3479,2009,26.07.2016,
3480,217,29.06.2016,
3481,473,01.08.2016,
3482,729,10.08.2016,
3483,985,11.07.2016,
3484,1241,,
3485,1497,19.07.2016,
3486,1753,21.07.2016,
3487,2009,,
3488,218,28.07.2016,
3489,474,04.07.2016,
3490,730,06.07.2016,
3491,986,15.08.2016,
3492,1242,14.07.2016,
3493,1498,,
3494,1754,,
3495,2010,26.07.2016,
3496,218,29.06.2016,
3497,474,01.08.2016,
3498,730,10.08.2016,
3499,986,11.07.2016,
3500,1242,,
3501,1498,20.07.2016,
3502,1754,21.07.2016,
3503,2010,,
3504,219,29.06.2016,
3505,475,01.08.2016,
3506,731,10.08.2016,
3507,987,11.07.2016,
3508,1243,,
3509,1499,19.07.2016,
3510,1755,21.07.2016,
3511,2011,,
3512,219,28.07.2016,
3513,475,04.07.2016,
3514,731,06.07.2016,
3515,987,15.08.2016,
3516,1243,14.07.2016,
